,component,componentType,stage,testType,date,runNumber,passed,problems,result1_key,result1_value,result2_key,result2_value
0,20UPBBC0001365,OB_BARE_MODULE_CELL,QC,Dimensional_Control,07/08/2024,1.0,True,False,Pass/No_Pass,True,Glue+Cooling_Block_Thickness,0.797
1,20UPBBC0001366,OB_BARE_MODULE_CELL,QC,Dimensional_Control,07/08/2024,1.0,True,False,Pass/No_Pass,True,Glue+Cooling_Block_Thickness,0.8
2,20UPBBC0001367,OB_BARE_MODULE_CELL,QC,Dimensional_Control,07/08/2024,1.0,True,False,Pass/No_Pass,True,Glue+Cooling_Block_Thickness,0.794
3,20UPBBC0001368,OB_BARE_MODULE_CELL,QC,Dimensional_Control,07/08/2024,1.0,True,False,Pass/No_Pass,True,Glue+Cooling_Block_Thickness,0.786
4,20UPBBC0001369,OB_BARE_MODULE_CELL,QC,Dimensional_Control,07/08/2024,1.0,True,False,Pass/No_Pass,True,Glue+Cooling_Block_Thickness,0.787
5,20UPBBC0001370,OB_BARE_MODULE_CELL,QC,Dimensional_Control,07/08/2024,1.0,False,False,Pass/No_Pass,False,Glue+Cooling_Block_Thickness,0.806
6,20UPBBC0001371,OB_BARE_MODULE_CELL,QC,Dimensional_Control,07/08/2024,1.0,False,False,Pass/No_Pass,False,Glue+Cooling_Block_Thickness,0.785
7,20UPBBC0001372,OB_BARE_MODULE_CELL,QC,Dimensional_Control,07/08/2024,1.0,True,False,Pass/No_Pass,True,Glue+Cooling_Block_Thickness,0.796
8,20UPBBC0001373,OB_BARE_MODULE_CELL,QC,Dimensional_Control,07/08/2024,1.0,True,False,Pass/No_Pass,True,Glue+Cooling_Block_Thickness,0.791
9,20UPBBC0001374,OB_BARE_MODULE_CELL,QC,Dimensional_Control,07/08/2024,1.0,True,False,Pass/No_Pass,True,Glue+Cooling_Block_Thickness,0.776
10,20UPBBC0001375,OB_BARE_MODULE_CELL,QC,Dimensional_Control,07/08/2024,1.0,True,False,Pass/No_Pass,True,Glue+Cooling_Block_Thickness,0.779
11,20UPBBC0001376,OB_BARE_MODULE_CELL,QC,Dimensional_Control,07/08/2024,1.0,True,False,Pass/No_Pass,True,Glue+Cooling_Block_Thickness,0.798
12,20UPBBC0001377,OB_BARE_MODULE_CELL,QC,Dimensional_Control,07/08/2024,1.0,True,False,Pass/No_Pass,True,Glue+Cooling_Block_Thickness,0.797
13,20UPBBC0001378,OB_BARE_MODULE_CELL,QC,Dimensional_Control,07/08/2024,1.0,True,False,Pass/No_Pass,True,Glue+Cooling_Block_Thickness,0.787
14,20UPBBC0001379,OB_BARE_MODULE_CELL,QC,Dimensional_Control,07/08/2024,1.0,True,False,Pass/No_Pass,True,Glue+Cooling_Block_Thickness,0.788
15,20UPBBC0001380,OB_BARE_MODULE_CELL,QC,Dimensional_Control,07/08/2024,1.0,True,False,Pass/No_Pass,True,Glue+Cooling_Block_Thickness,0.781
16,20UPBBC0001381,OB_BARE_MODULE_CELL,QC,Dimensional_Control,07/08/2024,1.0,True,False,Pass/No_Pass,True,Glue+Cooling_Block_Thickness,0.786
17,20UPBBC0001382,OB_BARE_MODULE_CELL,QC,Dimensional_Control,07/08/2024,1.0,True,False,Pass/No_Pass,True,Glue+Cooling_Block_Thickness,0.78
18,20UPBBC0001383,OB_BARE_MODULE_CELL,QC,Dimensional_Control,07/08/2024,1.0,True,False,Pass/No_Pass,True,Glue+Cooling_Block_Thickness,0.777
19,20UPBBC0001384,OB_BARE_MODULE_CELL,QC,Dimensional_Control,07/08/2024,1.0,True,False,Pass/No_Pass,True,Glue+Cooling_Block_Thickness,0.796
20,20UPBBC0001385,OB_BARE_MODULE_CELL,QC,Dimensional_Control,07/08/2024,1.0,True,False,Pass/No_Pass,True,Glue+Cooling_Block_Thickness,0.758
21,20UPBBC0001386,OB_BARE_MODULE_CELL,QC,Dimensional_Control,07/08/2024,1.0,True,False,Pass/No_Pass,True,Glue+Cooling_Block_Thickness,0.782
22,20UPBBC0001387,OB_BARE_MODULE_CELL,QC,Dimensional_Control,07/08/2024,1.0,True,False,Pass/No_Pass,True,Glue+Cooling_Block_Thickness,0.775
23,20UPBBC0001388,OB_BARE_MODULE_CELL,QC,Dimensional_Control,07/08/2024,1.0,True,False,Pass/No_Pass,True,Glue+Cooling_Block_Thickness,0.791
24,20UPBBC0001389,OB_BARE_MODULE_CELL,QC,Dimensional_Control,07/08/2024,1.0,True,False,Pass/No_Pass,True,Glue+Cooling_Block_Thickness,0.756
25,20UPBBC0001390,OB_BARE_MODULE_CELL,QC,Dimensional_Control,07/08/2024,1.0,True,False,Pass/No_Pass,True,Glue+Cooling_Block_Thickness,0.789
26,20UPBBC0001391,OB_BARE_MODULE_CELL,QC,Dimensional_Control,07/08/2024,1.0,True,False,Pass/No_Pass,True,Glue+Cooling_Block_Thickness,0.777
27,20UPBBC0001392,OB_BARE_MODULE_CELL,QC,Dimensional_Control,07/08/2024,1.0,False,False,Pass/No_Pass,False,Glue+Cooling_Block_Thickness,0.787
28,20UPBBC0001393,OB_BARE_MODULE_CELL,QC,Dimensional_Control,07/08/2024,1.0,True,False,Pass/No_Pass,True,Glue+Cooling_Block_Thickness,0.776
29,20UPBBC0001394,OB_BARE_MODULE_CELL,QC,Dimensional_Control,07/08/2024,1.0,True,False,Pass/No_Pass,True,Glue+Cooling_Block_Thickness,0.797
