,parentSN,parCompType,childSN1,childCompType1,slot1,childSN2,childCompType2,slot2
0,20UPBBC0000585,OB_BARE_MODULE_CELL,20UPBCB0000690,OB_COOLING_BLOCK,1,20UPBGT0000586,OB_PG_TILE,1
1,20UPBBC0000586,OB_BARE_MODULE_CELL,20UPBCB0000691,OB_COOLING_BLOCK,1,20UPBGT0000587,OB_PG_TILE,1
2,20UPBBC0000587,OB_BARE_MODULE_CELL,20UPBCB0000692,OB_COOLING_BLOCK,1,20UPBGT0000588,OB_PG_TILE,1
3,20UPBBC0000588,OB_BARE_MODULE_CELL,20UPBCB0000693,OB_COOLING_BLOCK,1,20UPBGT0000589,OB_PG_TILE,1
4,20UPBBC0000589,OB_BARE_MODULE_CELL,20UPBCB0000694,OB_COOLING_BLOCK,1,20UPBGT0000590,OB_PG_TILE,1
5,20UPBBC0000590,OB_BARE_MODULE_CELL,20UPBCB0000695,OB_COOLING_BLOCK,1,20UPBGT0000591,OB_PG_TILE,1
6,20UPBBC0000591,OB_BARE_MODULE_CELL,20UPBCB0000696,OB_COOLING_BLOCK,1,20UPBGT0000592,OB_PG_TILE,1
7,20UPBBC0000592,OB_BARE_MODULE_CELL,20UPBCB0000697,OB_COOLING_BLOCK,1,20UPBGT0000593,OB_PG_TILE,1
8,20UPBBC0000593,OB_BARE_MODULE_CELL,20UPBCB0000698,OB_COOLING_BLOCK,1,20UPBGT0000594,OB_PG_TILE,1
9,20UPBBC0000594,OB_BARE_MODULE_CELL,20UPBCB0000699,OB_COOLING_BLOCK,1,20UPBGT0000595,OB_PG_TILE,1
10,20UPBBC0000595,OB_BARE_MODULE_CELL,20UPBCB0000700,OB_COOLING_BLOCK,1,20UPBGT0000596,OB_PG_TILE,1
11,20UPBBC0000596,OB_BARE_MODULE_CELL,20UPBCB0000701,OB_COOLING_BLOCK,1,20UPBGT0000597,OB_PG_TILE,1
12,20UPBBC0000597,OB_BARE_MODULE_CELL,20UPBCB0000702,OB_COOLING_BLOCK,1,20UPBGT0000598,OB_PG_TILE,1
13,20UPBBC0000598,OB_BARE_MODULE_CELL,20UPBCB0000703,OB_COOLING_BLOCK,1,20UPBGT0000599,OB_PG_TILE,1
14,20UPBBC0000599,OB_BARE_MODULE_CELL,20UPBCB0000704,OB_COOLING_BLOCK,1,20UPBGT0000600,OB_PG_TILE,1
15,20UPBBC0000600,OB_BARE_MODULE_CELL,20UPBCB0000705,OB_COOLING_BLOCK,1,20UPBGT0000601,OB_PG_TILE,1
16,20UPBBC0000601,OB_BARE_MODULE_CELL,20UPBCB0000706,OB_COOLING_BLOCK,1,20UPBGT0000602,OB_PG_TILE,1
17,20UPBBC0000602,OB_BARE_MODULE_CELL,20UPBCB0000707,OB_COOLING_BLOCK,1,20UPBGT0000603,OB_PG_TILE,1
18,20UPBBC0000603,OB_BARE_MODULE_CELL,20UPBCB0000708,OB_COOLING_BLOCK,1,20UPBGT0000604,OB_PG_TILE,1
