,project,subproject,institution,componentType,type,property1_key,property1_value,property2_key,property2_value,property3_key,property3_value,property4_key,property4_value,property5_key,property5_value
0,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0001,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
1,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0002,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
2,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0003,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
3,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0004,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
4,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0005,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
5,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0006,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
6,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0007,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
7,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0008,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
8,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0009,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
9,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0010,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
10,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0011,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
11,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0012,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
12,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0013,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
13,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0014,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
14,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0015,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
15,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0016,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
16,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0017,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
17,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0018,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
18,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0019,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
19,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0020,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
20,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0021,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
21,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0022,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
22,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0023,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
23,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0024,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
24,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0025,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
25,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0026,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
26,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0027,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
27,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0028,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
28,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0029,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
29,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0030,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
30,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0031,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
31,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0032,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
32,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0033,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
