,component,componentType,stage,testType,date,runNumber,passed,problems,result1_key,result1_value
0,20UPBBC0000001,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/01/1900,1.0,True,false,Pass/No_Pass,True
1,20UPBBC0000002,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/01/1900,1.0,True,false,Pass/No_Pass,True
2,20UPBBC0000003,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/01/1900,1.0,True,false,Pass/No_Pass,True
3,20UPBBC0000004,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/01/1900,1.0,True,false,Pass/No_Pass,True
4,20UPBBC0000005,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/01/1900,1.0,True,false,Pass/No_Pass,True
5,20UPBBC0000006,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/01/1900,1.0,True,false,Pass/No_Pass,True
6,20UPBBC0000007,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/01/1900,1.0,True,false,Pass/No_Pass,True
7,20UPBBC0000008,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/01/1900,1.0,True,false,Pass/No_Pass,True
8,20UPBBC0000009,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/01/1900,1.0,True,false,Pass/No_Pass,True
9,20UPBBC0000010,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/01/1900,1.0,True,false,Pass/No_Pass,True
10,20UPBBC0000011,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/01/1900,1.0,True,false,Pass/No_Pass,True
11,20UPBBC0000012,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/01/1900,1.0,True,false,Pass/No_Pass,True
12,20UPBBC0000013,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/01/1900,1.0,True,false,Pass/No_Pass,True
13,20UPBBC0000014,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/01/1900,1.0,True,false,Pass/No_Pass,True
14,20UPBBC0000015,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/01/1900,1.0,True,false,Pass/No_Pass,True
15,20UPBBC0000016,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/01/1900,1.0,True,false,Pass/No_Pass,True
16,20UPBBC0000017,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/01/1900,1.0,True,false,Pass/No_Pass,True
17,20UPBBC0000018,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/01/1900,1.0,True,false,Pass/No_Pass,True
18,20UPBBC0000019,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/01/1900,1.0,True,false,Pass/No_Pass,True
