,project,subproject,institution,componentType,type,property1_key,property1_value
0,P,PB,BONN,OB_BARE_CELL_TRANSPORT_BOX,OB_BARE_CELL_TRANSPORT_BOX,PART_NUMBER,TB0-0111-0-0130
1,P,PB,BONN,OB_BARE_CELL_TRANSPORT_BOX,OB_BARE_CELL_TRANSPORT_BOX,PART_NUMBER,TB0-0131-0-0150
2,P,PB,BONN,OB_BARE_CELL_TRANSPORT_BOX,OB_BARE_CELL_TRANSPORT_BOX,PART_NUMBER,TB0-0151-0-0170
3,P,PB,BONN,OB_BARE_CELL_TRANSPORT_BOX,OB_BARE_CELL_TRANSPORT_BOX,PART_NUMBER,TB0-0171-0-0190
4,P,PB,BONN,OB_BARE_CELL_TRANSPORT_BOX,OB_BARE_CELL_TRANSPORT_BOX,PART_NUMBER,TB0-0191-0-0210
5,P,PB,BONN,OB_BARE_CELL_TRANSPORT_BOX,OB_BARE_CELL_TRANSPORT_BOX,PART_NUMBER,TB0-0211-0-0230
6,P,PB,BONN,OB_BARE_CELL_TRANSPORT_BOX,OB_BARE_CELL_TRANSPORT_BOX,PART_NUMBER,TB0-0231-0-0250
7,P,PB,BONN,OB_BARE_CELL_TRANSPORT_BOX,OB_BARE_CELL_TRANSPORT_BOX,PART_NUMBER,TB0-0251-0-0270
8,P,PB,BONN,OB_BARE_CELL_TRANSPORT_BOX,OB_BARE_CELL_TRANSPORT_BOX,PART_NUMBER,TB0-0271-0-0290
9,P,PB,BONN,OB_BARE_CELL_TRANSPORT_BOX,OB_BARE_CELL_TRANSPORT_BOX,PART_NUMBER,TB0-0291-0-0310
10,P,PB,BONN,OB_BARE_CELL_TRANSPORT_BOX,OB_BARE_CELL_TRANSPORT_BOX,PART_NUMBER,TB0-0311-0-0330
11,P,PB,BONN,OB_BARE_CELL_TRANSPORT_BOX,OB_BARE_CELL_TRANSPORT_BOX,PART_NUMBER,TB0-0331-0-0350
12,P,PB,BONN,OB_BARE_CELL_TRANSPORT_BOX,OB_BARE_CELL_TRANSPORT_BOX,PART_NUMBER,TB0-0351-0-0370
13,P,PB,BONN,OB_BARE_CELL_TRANSPORT_BOX,OB_BARE_CELL_TRANSPORT_BOX,PART_NUMBER,TB0-0371-0-0390
14,P,PB,BONN,OB_BARE_CELL_TRANSPORT_BOX,OB_BARE_CELL_TRANSPORT_BOX,PART_NUMBER,TB0-0391-0-0410
15,P,PB,BONN,OB_BARE_CELL_TRANSPORT_BOX,OB_BARE_CELL_TRANSPORT_BOX,PART_NUMBER,TB0-0411-0-0430
16,P,PB,BONN,OB_BARE_CELL_TRANSPORT_BOX,OB_BARE_CELL_TRANSPORT_BOX,PART_NUMBER,TB0-0431-0-0450
17,P,PB,BONN,OB_BARE_CELL_TRANSPORT_BOX,OB_BARE_CELL_TRANSPORT_BOX,PART_NUMBER,TB0-0451-0-0470
18,P,PB,BONN,OB_BARE_CELL_TRANSPORT_BOX,OB_BARE_CELL_TRANSPORT_BOX,PART_NUMBER,TB0-0471-0-0490
19,P,PB,BONN,OB_BARE_CELL_TRANSPORT_BOX,OB_BARE_CELL_TRANSPORT_BOX,PART_NUMBER,TB0-0491-0-0510
20,P,PB,BONN,OB_BARE_CELL_TRANSPORT_BOX,OB_BARE_CELL_TRANSPORT_BOX,PART_NUMBER,TB0-0511-0-0530
21,P,PB,BONN,OB_BARE_CELL_TRANSPORT_BOX,OB_BARE_CELL_TRANSPORT_BOX,PART_NUMBER,TB0-0531-0-0550
22,P,PB,BONN,OB_BARE_CELL_TRANSPORT_BOX,OB_BARE_CELL_TRANSPORT_BOX,PART_NUMBER,TB0-0551-0-0570
23,P,PB,BONN,OB_BARE_CELL_TRANSPORT_BOX,OB_BARE_CELL_TRANSPORT_BOX,PART_NUMBER,TB0-0571-0-0590
