,component,componentType,stage,testType,date,runNumber,passed,problems,result1_key,result1_value,result2_key,result2_value
0,20UPBBB0001706,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Dimensional_Control,14/03/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,2.008
1,20UPBBB0001707,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Dimensional_Control,14/03/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,2.007
2,20UPBBB0001708,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Dimensional_Control,14/03/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,2.009
3,20UPBBB0001709,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Dimensional_Control,14/03/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,2.009
4,20UPBBB0001710,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Dimensional_Control,14/03/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,2.01
5,20UPBBB0001711,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Dimensional_Control,14/03/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,1.993
6,20UPBBB0001712,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Dimensional_Control,14/03/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,2.008
7,20UPBBB0001713,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Dimensional_Control,14/03/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,2.008
8,20UPBBB0001714,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Dimensional_Control,14/03/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,2.009
9,20UPBBB0001715,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Dimensional_Control,14/03/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,2.007
10,20UPBBB0001716,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Dimensional_Control,14/03/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,1.992
11,20UPBBB0001717,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Dimensional_Control,14/03/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,2.01
12,20UPBBB0001718,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Dimensional_Control,14/03/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,2.01
13,20UPBBB0001719,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Dimensional_Control,14/03/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,2.011
14,20UPBBB0001720,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Dimensional_Control,14/03/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,2.011
15,20UPBBB0001721,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Dimensional_Control,14/03/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,1.987
16,20UPBBB0001722,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Dimensional_Control,14/03/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,2.009
17,20UPBBB0001723,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Dimensional_Control,14/03/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,2.007
18,20UPBBB0001724,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Dimensional_Control,14/03/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,2.008
19,20UPBBB0001725,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Dimensional_Control,14/03/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,2.008
20,20UPBBB0001726,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Dimensional_Control,14/03/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,1.993
21,20UPBBB0001727,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Dimensional_Control,14/03/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,2.009
22,20UPBBB0001728,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Dimensional_Control,14/03/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,2.01
23,20UPBBB0001729,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Dimensional_Control,14/03/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,2.01
24,20UPBBB0001730,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Dimensional_Control,14/03/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,2.008
25,20UPBBB0001731,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Dimensional_Control,14/03/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,2.008
26,20UPBBB0001732,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Dimensional_Control,14/03/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,2.008
27,20UPBBB0001733,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Dimensional_Control,14/03/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,1.994
