,component,componentType,stage,testType,date,runNumber,passed,problems,result1_key,result1_value,result2_key,result2_value
0,20UPBBB0002406,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.776,Estimated_Ni_Mass,0
1,20UPBBB0002407,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.775,Estimated_Ni_Mass,0
2,20UPBBB0002408,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.758,Estimated_Ni_Mass,0
3,20UPBBB0002409,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.767,Estimated_Ni_Mass,0
4,20UPBBB0002410,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.763,Estimated_Ni_Mass,0
5,20UPBBB0002411,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,01/01/1900,1.0,True,False,Base_Block_Mass,0,Estimated_Ni_Mass,0
6,20UPBBB0002412,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.774,Estimated_Ni_Mass,0
7,20UPBBB0002413,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.756,Estimated_Ni_Mass,0
8,20UPBBB0002414,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.766,Estimated_Ni_Mass,0
9,20UPBBB0002415,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,01/01/1900,1.0,True,False,Base_Block_Mass,0,Estimated_Ni_Mass,0
10,20UPBBB0002416,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.753,Estimated_Ni_Mass,0
11,20UPBBB0002417,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.756,Estimated_Ni_Mass,0
12,20UPBBB0002418,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.769,Estimated_Ni_Mass,0
13,20UPBBB0002419,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.769,Estimated_Ni_Mass,0
14,20UPBBB0002420,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,01/01/1900,1.0,True,False,Base_Block_Mass,0,Estimated_Ni_Mass,0
15,20UPBBB0002421,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.77,Estimated_Ni_Mass,0
16,20UPBBB0002422,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.772,Estimated_Ni_Mass,0
17,20UPBBB0002423,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.767,Estimated_Ni_Mass,0
18,20UPBBB0002424,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.766,Estimated_Ni_Mass,0
19,20UPBBB0002425,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.765,Estimated_Ni_Mass,0
20,20UPBBB0002426,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.766,Estimated_Ni_Mass,0
21,20UPBBB0002427,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.765,Estimated_Ni_Mass,0
22,20UPBBB0002428,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.763,Estimated_Ni_Mass,0
23,20UPBBB0002429,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.765,Estimated_Ni_Mass,0
24,20UPBBB0002430,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.771,Estimated_Ni_Mass,0
25,20UPBBB0002431,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.766,Estimated_Ni_Mass,0
26,20UPBBB0002432,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.767,Estimated_Ni_Mass,0
27,20UPBBB0002433,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.769,Estimated_Ni_Mass,0
28,20UPBBB0002434,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.767,Estimated_Ni_Mass,0
29,20UPBBB0002435,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.766,Estimated_Ni_Mass,0
30,20UPBBB0002436,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.766,Estimated_Ni_Mass,0
