,project,subproject,institution,componentType,type,property1_key,property1_value,property2_key,property2_value,property3_key,property3_value
0,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bf,PART_NUMBER,1-2401,Machining_Date,2024-04-25
1,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bf,PART_NUMBER,1-2402,Machining_Date,2024-04-25
2,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bf,PART_NUMBER,1-2403,Machining_Date,2024-04-25
3,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bf,PART_NUMBER,1-2404,Machining_Date,2024-04-25
4,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bf,PART_NUMBER,1-2405,Machining_Date,2024-04-25
5,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bf,PART_NUMBER,1-2406,Machining_Date,2024-04-25
6,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bf,PART_NUMBER,1-2407,Machining_Date,2024-04-25
7,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bf,PART_NUMBER,1-2408,Machining_Date,2024-04-25
8,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bf,PART_NUMBER,1-2409,Machining_Date,2024-04-25
9,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bf,PART_NUMBER,1-2410,Machining_Date,2024-04-26
10,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bf,PART_NUMBER,1-2411,Machining_Date,2024-04-26
11,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bf,PART_NUMBER,1-2412,Machining_Date,2024-04-26
12,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bf,PART_NUMBER,1-2413,Machining_Date,2024-04-26
13,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bf,PART_NUMBER,1-2414,Machining_Date,2024-04-26
14,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bf,PART_NUMBER,1-2415,Machining_Date,2024-04-26
15,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bf,PART_NUMBER,1-2416,Machining_Date,2024-04-26
16,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bf,PART_NUMBER,1-2417,Machining_Date,2024-04-26
17,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bf,PART_NUMBER,1-2418,Machining_Date,2024-04-26
18,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bf,PART_NUMBER,1-2419,Machining_Date,2024-04-26
19,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bf,PART_NUMBER,1-2420,Machining_Date,2024-04-26
20,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bf,PART_NUMBER,1-2421,Machining_Date,2024-04-26
21,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bf,PART_NUMBER,1-2422,Machining_Date,2024-04-26
22,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bf,PART_NUMBER,1-2423,Machining_Date,2024-04-26
23,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bf,PART_NUMBER,1-2424,Machining_Date,2024-04-26
24,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bf,PART_NUMBER,1-2425,Machining_Date,2024-04-26
25,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bf,PART_NUMBER,1-2426,Machining_Date,2024-04-26
26,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bf,PART_NUMBER,1-2427,Machining_Date,2024-04-26
27,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bf,PART_NUMBER,1-2428,Machining_Date,2024-04-26
28,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bf,PART_NUMBER,1-2429,Machining_Date,2024-04-26
29,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bf,PART_NUMBER,1-2430,Machining_Date,2024-04-26
30,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bf,PART_NUMBER,1-2431,Machining_Date,2024-04-26
31,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,21/03/2024/ah,PART_NUMBER,1-2432,Machining_Date,2024-06-06
32,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,21/03/2024/ah,PART_NUMBER,1-2433,Machining_Date,2024-06-06
33,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,21/03/2024/ah,PART_NUMBER,1-2434,Machining_Date,2024-06-06
34,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,21/03/2024/ah,PART_NUMBER,1-2435,Machining_Date,2024-06-06
35,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,21/03/2024/ah,PART_NUMBER,1-2436,Machining_Date,2024-06-06
36,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,21/03/2024/ah,PART_NUMBER,1-2437,Machining_Date,2024-06-06
37,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,21/03/2024/ah,PART_NUMBER,1-2438,Machining_Date,2024-06-06
38,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,21/03/2024/ah,PART_NUMBER,1-2439,Machining_Date,2024-06-06
39,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,21/03/2024/ah,PART_NUMBER,1-2440,Machining_Date,2024-06-06
40,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,21/03/2024/ah,PART_NUMBER,1-2441,Machining_Date,2024-06-06
41,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,21/03/2024/ah,PART_NUMBER,1-2442,Machining_Date,2024-06-06
42,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,21/03/2024/ah,PART_NUMBER,1-2443,Machining_Date,2024-06-06
43,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,21/03/2024/ah,PART_NUMBER,1-2444,Machining_Date,2024-06-06
44,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,21/03/2024/ah,PART_NUMBER,1-2445,Machining_Date,2024-06-06
45,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,21/03/2024/ah,PART_NUMBER,1-2446,Machining_Date,2024-06-06
46,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,21/03/2024/ah,PART_NUMBER,1-2447,Machining_Date,2024-06-06
47,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,21/03/2024/ah,PART_NUMBER,1-2448,Machining_Date,2024-06-06
48,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,21/03/2024/ah,PART_NUMBER,1-2449,Machining_Date,2024-06-06
49,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,21/03/2024/ah,PART_NUMBER,1-2450,Machining_Date,2024-06-06
50,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,21/03/2024/ah,PART_NUMBER,1-2451,Machining_Date,2024-06-06
51,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,21/03/2024/ah,PART_NUMBER,1-2452,Machining_Date,2024-06-06
52,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,21/03/2024/ah,PART_NUMBER,1-2453,Machining_Date,2024-06-06
53,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,21/03/2024/ah,PART_NUMBER,1-2454,Machining_Date,2024-06-06
54,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,21/03/2024/ah,PART_NUMBER,1-2455,Machining_Date,2024-06-06
