,serialNumber
0,20UPBBB0000806
1,20UPBBB0000807
2,20UPBBB0000808
3,20UPBBB0000809
4,20UPBBB0000810
5,20UPBBB0000811
6,20UPBBB0000812
7,20UPBBB0000813
8,20UPBBB0000814
9,20UPBBB0000815
10,20UPBBB0000816
11,20UPBBB0000817
12,20UPBBB0000818
13,20UPBBB0000819
14,20UPBBB0000820
15,20UPBBB0000821
16,20UPBBB0000822
17,20UPBBB0000823
18,20UPBBB0000824
19,20UPBBB0000825
20,20UPBBB0000826
21,20UPBBB0000827
22,20UPBBB0000828
23,20UPBBB0000829
24,20UPBBB0000830
25,20UPBBB0000831
26,20UPBBB0000832
27,20UPBBB0000833
28,20UPBBB0000834
29,20UPBBB0000835
30,20UPBBB0000836
31,20UPBBB0000837
32,20UPBBB0000838
33,20UPBBB0000839
34,20UPBBB0000840
35,20UPBBB0000841
36,20UPBBB0000842
37,20UPBBB0000843
38,20UPBBB0000844
39,20UPBBB0000845
40,20UPBBB0000846
41,20UPBBB0000847
42,20UPBBB0000848
43,20UPBBB0000849
44,20UPBBB0000850
45,20UPBBB0000851
46,20UPBBB0000852
47,20UPBBB0000853
48,20UPBBB0000854
49,20UPBBB0000855
50,20UPBBB0000856
51,20UPBBB0000857
52,20UPBBB0000858
53,20UPBBB0000859
54,20UPBBB0000860
55,20UPBBB0000861
56,20UPBBB0000862
57,20UPBBB0000863
58,20UPBBB0000864
59,20UPBBB0000865
60,20UPBBB0000866
61,20UPBBB0000867
62,20UPBBB0000868
63,20UPBBB0000869
64,20UPBBB0000870
65,20UPBBB0000871
66,20UPBBB0000872
67,20UPBBB0000873
68,20UPBBB0000874
69,20UPBBB0000875
70,20UPBBB0000876
71,20UPBBB0000877
72,20UPBBB0000878
73,20UPBBB0000879
74,20UPBBB0000880
75,20UPBBB0000881
76,20UPBBB0000882
77,20UPBBB0000883
78,20UPBBB0000884
79,20UPBBB0000885
80,20UPBBB0000886
81,20UPBBB0000887
82,20UPBBB0000888
83,20UPBBB0000889
84,20UPBBB0000890
85,20UPBBB0000891
86,20UPBBB0000892
87,20UPBBB0000893
88,20UPBBB0000894
89,20UPBBB0000895
90,20UPBBB0000896
91,20UPBBB0000897
92,20UPBBB0000898
93,20UPBBB0000899
94,20UPBBB0000900
95,20UPBBB0000901
96,20UPBBB0000902
97,20UPBBB0000903
98,20UPBBB0000904
99,20UPBBB0000905
100,20UPBBB0000906
101,20UPBBB0000907
102,20UPBBB0000908
103,20UPBBB0000909
104,20UPBBB0000910
105,20UPBBB0000911
106,20UPBBB0000912
107,20UPBBB0000913
108,20UPBBB0000914
109,20UPBBB0000915
110,20UPBBB0000916
111,20UPBBB0000917
112,20UPBBB0000918
113,20UPBBB0000919
114,20UPBBB0000920
115,20UPBBB0000921
116,20UPBBB0000922
117,20UPBBB0000923
118,20UPBBB0000924
119,20UPBBB0000925
120,20UPBBB0000926
121,20UPBBB0000927
