,serialNumber,stage
0,20UPBBB0002406,QC_BEFORE_NI_COATING
1,20UPBBB0002407,QC_BEFORE_NI_COATING
2,20UPBBB0002408,QC_BEFORE_NI_COATING
3,20UPBBB0002409,QC_BEFORE_NI_COATING
4,20UPBBB0002410,QC_BEFORE_NI_COATING
5,20UPBBB0002411,QC_BEFORE_NI_COATING
6,20UPBBB0002412,QC_BEFORE_NI_COATING
7,20UPBBB0002413,QC_BEFORE_NI_COATING
8,20UPBBB0002414,QC_BEFORE_NI_COATING
9,20UPBBB0002415,QC_BEFORE_NI_COATING
10,20UPBBB0002416,QC_BEFORE_NI_COATING
11,20UPBBB0002417,QC_BEFORE_NI_COATING
12,20UPBBB0002418,QC_BEFORE_NI_COATING
13,20UPBBB0002419,QC_BEFORE_NI_COATING
14,20UPBBB0002420,QC_BEFORE_NI_COATING
15,20UPBBB0002421,QC_BEFORE_NI_COATING
16,20UPBBB0002422,QC_BEFORE_NI_COATING
17,20UPBBB0002423,QC_BEFORE_NI_COATING
18,20UPBBB0002424,QC_BEFORE_NI_COATING
19,20UPBBB0002425,QC_BEFORE_NI_COATING
20,20UPBBB0002426,QC_BEFORE_NI_COATING
21,20UPBBB0002427,QC_BEFORE_NI_COATING
22,20UPBBB0002428,QC_BEFORE_NI_COATING
23,20UPBBB0002429,QC_BEFORE_NI_COATING
24,20UPBBB0002430,QC_BEFORE_NI_COATING
25,20UPBBB0002431,QC_BEFORE_NI_COATING
26,20UPBBB0002432,QC_BEFORE_NI_COATING
27,20UPBBB0002433,QC_BEFORE_NI_COATING
28,20UPBBB0002434,QC_BEFORE_NI_COATING
29,20UPBBB0002435,QC_BEFORE_NI_COATING
30,20UPBBB0002436,QC_BEFORE_NI_COATING
31,20UPBBB0002437,QC_BEFORE_NI_COATING
32,20UPBBB0002438,QC_BEFORE_NI_COATING
33,20UPBBB0002439,QC_BEFORE_NI_COATING
34,20UPBBB0002440,QC_BEFORE_NI_COATING
35,20UPBBB0002441,QC_BEFORE_NI_COATING
36,20UPBBB0002442,QC_BEFORE_NI_COATING
37,20UPBBB0002443,QC_BEFORE_NI_COATING
38,20UPBBB0002444,QC_BEFORE_NI_COATING
39,20UPBBB0002445,QC_BEFORE_NI_COATING
40,20UPBBB0002446,QC_BEFORE_NI_COATING
41,20UPBBB0002447,QC_BEFORE_NI_COATING
42,20UPBBB0002448,QC_BEFORE_NI_COATING
43,20UPBBB0002449,QC_BEFORE_NI_COATING
44,20UPBBB0002450,QC_BEFORE_NI_COATING
45,20UPBBB0002451,QC_BEFORE_NI_COATING
46,20UPBBB0002452,QC_BEFORE_NI_COATING
47,20UPBBB0002453,QC_BEFORE_NI_COATING
48,20UPBBB0002454,QC_BEFORE_NI_COATING
49,20UPBBB0002455,QC_BEFORE_NI_COATING
50,20UPBBB0002456,QC_BEFORE_NI_COATING
51,20UPBBB0002457,QC_BEFORE_NI_COATING
52,20UPBBB0002458,QC_BEFORE_NI_COATING
53,20UPBBB0002459,QC_BEFORE_NI_COATING
54,20UPBBB0002460,QC_BEFORE_NI_COATING
55,20UPBBB0002461,QC_BEFORE_NI_COATING
56,20UPBBB0002462,QC_BEFORE_NI_COATING
57,20UPBBB0002463,QC_BEFORE_NI_COATING
58,20UPBBB0002464,QC_BEFORE_NI_COATING
59,20UPBBB0002465,QC_BEFORE_NI_COATING
60,20UPBBB0002466,QC_BEFORE_NI_COATING
61,20UPBBB0002467,QC_BEFORE_NI_COATING
62,20UPBBB0002468,QC_BEFORE_NI_COATING
63,20UPBBB0002469,QC_BEFORE_NI_COATING
64,20UPBBB0002470,QC_BEFORE_NI_COATING
65,20UPBBB0002471,QC_BEFORE_NI_COATING
66,20UPBBB0002472,QC_BEFORE_NI_COATING
67,20UPBBB0002473,QC_BEFORE_NI_COATING
68,20UPBBB0002474,QC_BEFORE_NI_COATING
69,20UPBBB0002475,QC_BEFORE_NI_COATING
70,20UPBBB0002476,QC_BEFORE_NI_COATING
71,20UPBBB0002477,QC_BEFORE_NI_COATING
72,20UPBBB0002478,QC_BEFORE_NI_COATING
73,20UPBBB0002479,QC_BEFORE_NI_COATING
74,20UPBBB0002480,QC_BEFORE_NI_COATING
75,20UPBBB0002481,QC_BEFORE_NI_COATING
76,20UPBBB0002482,QC_BEFORE_NI_COATING
77,20UPBBB0002483,QC_BEFORE_NI_COATING
78,20UPBBB0002484,QC_BEFORE_NI_COATING
79,20UPBBB0002485,QC_BEFORE_NI_COATING
80,20UPBBB0002486,QC_BEFORE_NI_COATING
81,20UPBBB0002487,QC_BEFORE_NI_COATING
82,20UPBBB0002488,QC_BEFORE_NI_COATING
83,20UPBBB0002489,QC_BEFORE_NI_COATING
84,20UPBBB0002490,QC_BEFORE_NI_COATING
85,20UPBBB0002491,QC_BEFORE_NI_COATING
86,20UPBBB0002492,QC_BEFORE_NI_COATING
87,20UPBBB0002493,QC_BEFORE_NI_COATING
88,20UPBBB0002494,QC_BEFORE_NI_COATING
89,20UPBBB0002495,QC_BEFORE_NI_COATING
90,20UPBBB0002496,QC_BEFORE_NI_COATING
91,20UPBBB0002497,QC_BEFORE_NI_COATING
92,20UPBBB0002498,QC_BEFORE_NI_COATING
93,20UPBBB0002499,QC_BEFORE_NI_COATING
94,20UPBBB0002500,QC_BEFORE_NI_COATING
95,20UPBBB0002501,QC_BEFORE_NI_COATING
96,20UPBBB0002502,QC_BEFORE_NI_COATING
97,20UPBBB0002503,QC_BEFORE_NI_COATING
98,20UPBBB0002504,QC_BEFORE_NI_COATING
99,20UPBBB0002505,QC_BEFORE_NI_COATING
100,20UPBBB0002506,QC_BEFORE_NI_COATING
101,20UPBBB0002507,QC_BEFORE_NI_COATING
102,20UPBBB0002508,QC_BEFORE_NI_COATING
103,20UPBBB0002509,QC_BEFORE_NI_COATING
104,20UPBBB0002510,QC_BEFORE_NI_COATING
105,20UPBBB0002511,QC_BEFORE_NI_COATING
106,20UPBBB0002512,QC_BEFORE_NI_COATING
107,20UPBBB0002513,QC_BEFORE_NI_COATING
108,20UPBBB0002514,QC_BEFORE_NI_COATING
109,20UPBBB0002515,QC_BEFORE_NI_COATING
110,20UPBBB0002516,QC_BEFORE_NI_COATING
111,20UPBBB0002517,QC_BEFORE_NI_COATING
112,20UPBBB0002518,QC_BEFORE_NI_COATING
113,20UPBBB0002519,QC_BEFORE_NI_COATING
114,20UPBBB0002520,QC_BEFORE_NI_COATING
115,20UPBBB0002521,QC_BEFORE_NI_COATING
116,20UPBBB0002522,QC_BEFORE_NI_COATING
117,20UPBBB0002523,QC_BEFORE_NI_COATING
118,20UPBBB0002524,QC_BEFORE_NI_COATING
119,20UPBBB0002525,QC_BEFORE_NI_COATING
120,20UPBBB0002526,QC_BEFORE_NI_COATING
121,20UPBBB0002527,QC_BEFORE_NI_COATING
122,20UPBBB0002528,QC_BEFORE_NI_COATING
123,20UPBBB0002529,QC_BEFORE_NI_COATING
124,20UPBBB0002530,QC_BEFORE_NI_COATING
125,20UPBBB0002531,QC_BEFORE_NI_COATING
126,20UPBBB0002532,QC_BEFORE_NI_COATING
127,20UPBBB0002533,QC_BEFORE_NI_COATING
128,20UPBBB0002534,QC_BEFORE_NI_COATING
129,20UPBBB0002535,QC_BEFORE_NI_COATING
130,20UPBBB0002536,QC_BEFORE_NI_COATING
131,20UPBBB0002537,QC_BEFORE_NI_COATING
132,20UPBBB0002538,QC_BEFORE_NI_COATING
133,20UPBBB0002539,QC_BEFORE_NI_COATING
134,20UPBBB0002540,QC_BEFORE_NI_COATING
135,20UPBBB0002541,QC_BEFORE_NI_COATING
136,20UPBBB0002542,QC_BEFORE_NI_COATING
137,20UPBBB0002543,QC_BEFORE_NI_COATING
138,20UPBBB0002544,QC_BEFORE_NI_COATING
139,20UPBBB0002545,QC_BEFORE_NI_COATING
140,20UPBBB0002546,QC_BEFORE_NI_COATING
141,20UPBBB0002547,QC_BEFORE_NI_COATING
142,20UPBBB0002548,QC_BEFORE_NI_COATING
143,20UPBBB0002549,QC_BEFORE_NI_COATING
144,20UPBBB0002550,QC_BEFORE_NI_COATING
145,20UPBBB0002551,QC_BEFORE_NI_COATING
146,20UPBBB0002552,QC_BEFORE_NI_COATING
147,20UPBBB0002553,QC_BEFORE_NI_COATING
148,20UPBBB0002554,QC_BEFORE_NI_COATING
149,20UPBBB0002555,QC_BEFORE_NI_COATING
150,20UPBBB0002556,QC_BEFORE_NI_COATING
151,20UPBBB0002557,QC_BEFORE_NI_COATING
152,20UPBBB0002558,QC_BEFORE_NI_COATING
153,20UPBBB0002559,QC_BEFORE_NI_COATING
154,20UPBBB0002560,QC_BEFORE_NI_COATING
155,20UPBBB0002561,QC_BEFORE_NI_COATING
156,20UPBBB0002562,QC_BEFORE_NI_COATING
157,20UPBBB0002563,QC_BEFORE_NI_COATING
158,20UPBBB0002564,QC_BEFORE_NI_COATING
159,20UPBBB0002565,QC_BEFORE_NI_COATING
160,20UPBBB0002566,QC_BEFORE_NI_COATING
161,20UPBBB0002567,QC_BEFORE_NI_COATING
162,20UPBBB0002568,QC_BEFORE_NI_COATING
163,20UPBBB0002569,QC_BEFORE_NI_COATING
164,20UPBBB0002570,QC_BEFORE_NI_COATING
165,20UPBBB0002571,QC_BEFORE_NI_COATING
166,20UPBBB0002572,QC_BEFORE_NI_COATING
167,20UPBBB0002573,QC_BEFORE_NI_COATING
168,20UPBBB0002574,QC_BEFORE_NI_COATING
169,20UPBBB0002575,QC_BEFORE_NI_COATING
170,20UPBBB0002576,QC_BEFORE_NI_COATING
171,20UPBBB0002577,QC_BEFORE_NI_COATING
172,20UPBBB0002578,QC_BEFORE_NI_COATING
173,20UPBBB0002579,QC_BEFORE_NI_COATING
174,20UPBBB0002580,QC_BEFORE_NI_COATING
175,20UPBBB0002581,QC_BEFORE_NI_COATING
176,20UPBBB0002582,QC_BEFORE_NI_COATING
177,20UPBBB0002583,QC_BEFORE_NI_COATING
178,20UPBBB0002584,QC_BEFORE_NI_COATING
179,20UPBBB0002585,QC_BEFORE_NI_COATING
180,20UPBBB0002586,QC_BEFORE_NI_COATING
181,20UPBBB0002587,QC_BEFORE_NI_COATING
182,20UPBBB0002588,QC_BEFORE_NI_COATING
183,20UPBBB0002589,QC_BEFORE_NI_COATING
184,20UPBBB0002590,QC_BEFORE_NI_COATING
185,20UPBBB0002591,QC_BEFORE_NI_COATING
186,20UPBBB0002592,QC_BEFORE_NI_COATING
187,20UPBBB0002593,QC_BEFORE_NI_COATING
188,20UPBBB0002594,QC_BEFORE_NI_COATING
189,20UPBBB0002595,QC_BEFORE_NI_COATING
190,20UPBBB0002596,QC_BEFORE_NI_COATING
191,20UPBBB0002597,QC_BEFORE_NI_COATING
192,20UPBBB0002598,QC_BEFORE_NI_COATING
193,20UPBBB0002599,QC_BEFORE_NI_COATING
194,20UPBBB0002600,QC_BEFORE_NI_COATING
195,20UPBBB0002601,QC_BEFORE_NI_COATING
196,20UPBBB0002602,QC_BEFORE_NI_COATING
197,20UPBBB0002603,QC_BEFORE_NI_COATING
198,20UPBBB0002604,QC_BEFORE_NI_COATING
199,20UPBBB0002605,QC_BEFORE_NI_COATING
200,20UPBBB0002606,QC_BEFORE_NI_COATING
201,20UPBBB0002607,QC_BEFORE_NI_COATING
202,20UPBBB0002608,QC_BEFORE_NI_COATING
203,20UPBBB0002609,QC_BEFORE_NI_COATING
204,20UPBBB0002610,QC_BEFORE_NI_COATING
205,20UPBBB0002611,QC_BEFORE_NI_COATING
206,20UPBBB0002612,QC_BEFORE_NI_COATING
207,20UPBBB0002613,QC_BEFORE_NI_COATING
208,20UPBBB0002614,QC_BEFORE_NI_COATING
209,20UPBBB0002615,QC_BEFORE_NI_COATING
210,20UPBBB0002616,QC_BEFORE_NI_COATING
211,20UPBBB0002617,QC_BEFORE_NI_COATING
212,20UPBBB0002618,QC_BEFORE_NI_COATING
213,20UPBBB0002619,QC_BEFORE_NI_COATING
214,20UPBBB0002620,QC_BEFORE_NI_COATING
