,component,componentType,stage,testType,date,runNumber,passed,problems,result1_key,result1_value,result2_key,result2_value
0,20UPBCB0000690,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.715
1,20UPBCB0000691,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.717
2,20UPBCB0000692,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.716
3,20UPBCB0000693,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.716
4,20UPBCB0000694,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.718
5,20UPBCB0000695,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.718
6,20UPBCB0000696,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.719
7,20UPBCB0000697,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.719
8,20UPBCB0000698,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.719
9,20UPBCB0000699,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.718
10,20UPBCB0000700,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.722
11,20UPBCB0000701,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.717
12,20UPBCB0000702,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.717
13,20UPBCB0000703,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.717
14,20UPBCB0000704,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,False,False,Pass/No_Pass,False,THICKNESS,0.718
15,20UPBCB0000705,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,False,False,Pass/No_Pass,False,THICKNESS,0.717
16,20UPBCB0000706,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.718
17,20UPBCB0000707,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.716
18,20UPBCB0000708,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.717
19,20UPBCB0000709,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.716
20,20UPBCB0000710,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.719
21,20UPBCB0000711,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.72
22,20UPBCB0000712,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.72
23,20UPBCB0000713,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.716
24,20UPBCB0000714,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.718
25,20UPBCB0000715,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.718
26,20UPBCB0000716,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.719
27,20UPBCB0000717,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.719
28,20UPBCB0000718,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.719
29,20UPBCB0000719,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.718
30,20UPBCB0000720,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.718
31,20UPBCB0000721,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.717
32,20UPBCB0000722,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.719
33,20UPBCB0000723,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.721
34,20UPBCB0000724,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.719
35,20UPBCB0000725,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.717
36,20UPBCB0000726,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.72
37,20UPBCB0000727,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.72
38,20UPBCB0000728,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.718
39,20UPBCB0000729,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.721
40,20UPBCB0000730,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.718
41,20UPBCB0000731,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.717
42,20UPBCB0000732,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.718
43,20UPBCB0000733,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.718
44,20UPBCB0000734,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.719
45,20UPBCB0000735,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.72
46,20UPBCB0000736,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.718
47,20UPBCB0000737,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.72
48,20UPBCB0000738,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.72
49,20UPBCB0000739,OB_COOLING_BLOCK,QC,Dimensional_Control,26/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.72
50,20UPBCB0000740,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.719
51,20UPBCB0000741,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.719
52,20UPBCB0000742,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.718
53,20UPBCB0000743,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.716
54,20UPBCB0000744,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.72
55,20UPBCB0000745,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.717
56,20UPBCB0000746,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.721
57,20UPBCB0000747,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.718
58,20UPBCB0000748,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.717
59,20UPBCB0000749,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.72
60,20UPBCB0000750,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.719
61,20UPBCB0000751,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.719
62,20UPBCB0000752,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.721
63,20UPBCB0000753,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.72
64,20UPBCB0000754,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.72
65,20UPBCB0000755,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.72
66,20UPBCB0000756,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.719
67,20UPBCB0000757,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.717
68,20UPBCB0000758,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.72
69,20UPBCB0000759,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.72
70,20UPBCB0000760,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.721
71,20UPBCB0000761,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.72
72,20UPBCB0000762,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.717
73,20UPBCB0000763,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.718
74,20UPBCB0000764,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.719
75,20UPBCB0000765,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.719
76,20UPBCB0000766,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.719
77,20UPBCB0000767,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.72
78,20UPBCB0000768,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.722
79,20UPBCB0000769,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.719
80,20UPBCB0000770,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.719
81,20UPBCB0000771,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.716
82,20UPBCB0000772,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.719
83,20UPBCB0000773,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.72
84,20UPBCB0000774,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.717
85,20UPBCB0000775,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.718
86,20UPBCB0000776,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.719
87,20UPBCB0000777,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.72
88,20UPBCB0000778,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.72
89,20UPBCB0000779,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.72
90,20UPBCB0000780,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.718
91,20UPBCB0000781,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.715
92,20UPBCB0000782,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.72
93,20UPBCB0000783,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.717
94,20UPBCB0000784,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.72
95,20UPBCB0000785,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.719
96,20UPBCB0000786,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,False,False,Pass/No_Pass,False,THICKNESS,0.713
97,20UPBCB0000787,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.719
98,20UPBCB0000788,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.722
99,20UPBCB0000789,OB_COOLING_BLOCK,QC,Dimensional_Control,27/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.718
100,20UPBCB0000790,OB_COOLING_BLOCK,QC,Dimensional_Control,28/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.717
101,20UPBCB0000791,OB_COOLING_BLOCK,QC,Dimensional_Control,28/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.72
102,20UPBCB0000792,OB_COOLING_BLOCK,QC,Dimensional_Control,28/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.718
103,20UPBCB0000793,OB_COOLING_BLOCK,QC,Dimensional_Control,28/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.72
104,20UPBCB0000794,OB_COOLING_BLOCK,QC,Dimensional_Control,28/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.719
105,20UPBCB0000795,OB_COOLING_BLOCK,QC,Dimensional_Control,28/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.723
106,20UPBCB0000796,OB_COOLING_BLOCK,QC,Dimensional_Control,28/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.72
107,20UPBCB0000797,OB_COOLING_BLOCK,QC,Dimensional_Control,28/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.719
108,20UPBCB0000798,OB_COOLING_BLOCK,QC,Dimensional_Control,28/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.717
109,20UPBCB0000799,OB_COOLING_BLOCK,QC,Dimensional_Control,28/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.72
110,20UPBCB0000800,OB_COOLING_BLOCK,QC,Dimensional_Control,28/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.718
111,20UPBCB0000801,OB_COOLING_BLOCK,QC,Dimensional_Control,28/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.722
112,20UPBCB0000802,OB_COOLING_BLOCK,QC,Dimensional_Control,28/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.718
113,20UPBCB0000803,OB_COOLING_BLOCK,QC,Dimensional_Control,28/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.716
114,20UPBCB0000804,OB_COOLING_BLOCK,QC,Dimensional_Control,28/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.724
115,20UPBCB0000805,OB_COOLING_BLOCK,QC,Dimensional_Control,28/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.717
116,20UPBCB0000806,OB_COOLING_BLOCK,QC,Dimensional_Control,28/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.719
117,20UPBCB0000807,OB_COOLING_BLOCK,QC,Dimensional_Control,28/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.716
118,20UPBCB0000808,OB_COOLING_BLOCK,QC,Dimensional_Control,28/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.715
119,20UPBCB0000809,OB_COOLING_BLOCK,QC,Dimensional_Control,28/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.721
120,20UPBCB0000810,OB_COOLING_BLOCK,QC,Dimensional_Control,28/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.72
121,20UPBCB0000811,OB_COOLING_BLOCK,QC,Dimensional_Control,28/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.716
122,20UPBCB0000812,OB_COOLING_BLOCK,QC,Dimensional_Control,28/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.717
123,20UPBCB0000813,OB_COOLING_BLOCK,QC,Dimensional_Control,28/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.717
124,20UPBCB0000814,OB_COOLING_BLOCK,QC,Dimensional_Control,28/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.718
125,20UPBCB0000815,OB_COOLING_BLOCK,QC,Dimensional_Control,28/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.719
126,20UPBCB0000816,OB_COOLING_BLOCK,QC,Dimensional_Control,28/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.717
127,20UPBCB0000817,OB_COOLING_BLOCK,QC,Dimensional_Control,28/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.718
128,20UPBCB0000818,OB_COOLING_BLOCK,QC,Dimensional_Control,28/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.721
129,20UPBCB0000819,OB_COOLING_BLOCK,QC,Dimensional_Control,28/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.718
130,20UPBCB0000820,OB_COOLING_BLOCK,QC,Dimensional_Control,28/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.72
131,20UPBCB0000821,OB_COOLING_BLOCK,QC,Dimensional_Control,28/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.719
132,20UPBCB0000822,OB_COOLING_BLOCK,QC,Dimensional_Control,28/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.719
133,20UPBCB0000823,OB_COOLING_BLOCK,QC,Dimensional_Control,28/06/2024,1.0,True,False,Pass/No_Pass,True,THICKNESS,0.719
