,component,componentType,stage,testType,date,runNumber,passed,problems,result1_key,result1_value
0,20UPBCB0000690,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4013
1,20UPBCB0000691,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4002
2,20UPBCB0000692,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.401
3,20UPBCB0000693,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4033
4,20UPBCB0000694,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4029
5,20UPBCB0000695,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4003
6,20UPBCB0000696,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4021
7,20UPBCB0000697,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4013
8,20UPBCB0000698,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4029
9,20UPBCB0000699,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4032
10,20UPBCB0000700,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4028
11,20UPBCB0000701,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.401
12,20UPBCB0000702,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.402
13,20UPBCB0000703,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4026
14,20UPBCB0000704,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4032
15,20UPBCB0000705,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4006
16,20UPBCB0000706,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4012
17,20UPBCB0000707,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4015
18,20UPBCB0000708,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.3994
19,20UPBCB0000709,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4014
20,20UPBCB0000710,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4009
21,20UPBCB0000711,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4023
22,20UPBCB0000712,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4011
23,20UPBCB0000713,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4014
24,20UPBCB0000714,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.3998
25,20UPBCB0000715,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.3997
26,20UPBCB0000716,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4039
27,20UPBCB0000717,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4035
28,20UPBCB0000718,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4042
29,20UPBCB0000719,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4045
30,20UPBCB0000720,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.404
31,20UPBCB0000721,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4025
32,20UPBCB0000722,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4035
33,20UPBCB0000723,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4039
34,20UPBCB0000724,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4037
35,20UPBCB0000725,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4022
36,20UPBCB0000726,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4039
37,20UPBCB0000727,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4026
38,20UPBCB0000728,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.405
39,20UPBCB0000729,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4047
40,20UPBCB0000730,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.404
41,20UPBCB0000731,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4025
42,20UPBCB0000732,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4032
43,20UPBCB0000733,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4036
44,20UPBCB0000734,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4035
45,20UPBCB0000735,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4102
46,20UPBCB0000736,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4095
47,20UPBCB0000737,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4076
48,20UPBCB0000738,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4072
49,20UPBCB0000739,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4092
50,20UPBCB0000740,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4094
51,20UPBCB0000741,OB_COOLING_BLOCK,QC,Mass_Control,07/05/2024,1.0,True,False,MASS,0.4096
