,project,subproject,institution,componentType,type,property1_key,property1_value,property2_key,property2_value,property3_key,property3_value
0,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0001,Machining_Date,2024-05-02
1,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0002,Machining_Date,2024-05-02
2,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0003,Machining_Date,2024-05-02
3,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0004,Machining_Date,2024-05-02
4,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0005,Machining_Date,2024-05-02
5,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0006,Machining_Date,2024-05-02
6,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0007,Machining_Date,2024-05-02
7,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0008,Machining_Date,2024-05-02
8,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0009,Machining_Date,2024-05-02
9,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0010,Machining_Date,2024-05-02
10,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0011,Machining_Date,2024-05-02
11,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0012,Machining_Date,2024-05-02
12,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0013,Machining_Date,2024-05-02
13,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0014,Machining_Date,2024-05-02
