,component,componentType,stage,testType,date,runNumber,passed,problems,result1_key,result1_value,result2_key,result2_value
0,20UPBBB0000005,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,18/12/2023,1.0,True,False,Base_Block_Mass,0.7561,Estimated_Ni_Mass,0
1,20UPBBB0000006,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,18/12/2023,1.0,True,False,Base_Block_Mass,0.7568,Estimated_Ni_Mass,0
2,20UPBBB0000007,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,18/12/2023,1.0,True,False,Base_Block_Mass,0.7543,Estimated_Ni_Mass,0
3,20UPBBB0000008,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,18/12/2023,1.0,True,False,Base_Block_Mass,0.7545,Estimated_Ni_Mass,0
4,20UPBBB0000009,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,18/12/2023,1.0,True,False,Base_Block_Mass,0.757,Estimated_Ni_Mass,0
5,20UPBBB0000010,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,18/12/2023,1.0,True,False,Base_Block_Mass,0.7574,Estimated_Ni_Mass,0
6,20UPBBB0000011,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,18/12/2023,1.0,True,False,Base_Block_Mass,0.7572,Estimated_Ni_Mass,0
7,20UPBBB0000012,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,18/12/2023,1.0,True,False,Base_Block_Mass,0.7567,Estimated_Ni_Mass,0
8,20UPBBB0000018,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,18/12/2023,1.0,True,False,Base_Block_Mass,0.7561,Estimated_Ni_Mass,0
9,20UPBBB0000019,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,18/12/2023,1.0,True,False,Base_Block_Mass,0.7555,Estimated_Ni_Mass,0
10,20UPBBB0000020,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,18/12/2023,1.0,True,False,Base_Block_Mass,0.7569,Estimated_Ni_Mass,0
11,20UPBBB0000021,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,18/12/2023,1.0,True,False,Base_Block_Mass,0.7574,Estimated_Ni_Mass,0
12,20UPBBB0000022,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,18/12/2023,1.0,True,False,Base_Block_Mass,0.7555,Estimated_Ni_Mass,0
13,20UPBBB0000023,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,18/12/2023,1.0,True,False,Base_Block_Mass,0.7561,Estimated_Ni_Mass,0
14,20UPBBB0000024,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,18/12/2023,1.0,True,False,Base_Block_Mass,0.7566,Estimated_Ni_Mass,0
15,20UPBBB0000025,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,18/12/2023,1.0,True,False,Base_Block_Mass,0.7565,Estimated_Ni_Mass,0
