,project,subproject,institution,componentType,type,property1_key,property1_value,property2_key,property2_value,property3_key,property3_value
0,P,PB,BONN,OB_PG_TILE,OB_PG_TILE,PART_NUMBER,PGT0-0001,Delivery_Date,1900-01-01,Supplier_Batch_Reference,x
1,P,PB,BONN,OB_PG_TILE,OB_PG_TILE,PART_NUMBER,PGT0-0002,Delivery_Date,1900-01-01,Supplier_Batch_Reference,x
2,P,PB,BONN,OB_PG_TILE,OB_PG_TILE,PART_NUMBER,PGT0-0003,Delivery_Date,1900-01-01,Supplier_Batch_Reference,x
3,P,PB,BONN,OB_PG_TILE,OB_PG_TILE,PART_NUMBER,PGT0-0004,Delivery_Date,1900-01-01,Supplier_Batch_Reference,x
4,P,PB,BONN,OB_PG_TILE,OB_PG_TILE,PART_NUMBER,PGT0-0005,Delivery_Date,1900-01-01,Supplier_Batch_Reference,x
5,P,PB,BONN,OB_PG_TILE,OB_PG_TILE,PART_NUMBER,PGT0-0006,Delivery_Date,1900-01-01,Supplier_Batch_Reference,x
6,P,PB,BONN,OB_PG_TILE,OB_PG_TILE,PART_NUMBER,PGT0-0007,Delivery_Date,1900-01-01,Supplier_Batch_Reference,x
7,P,PB,BONN,OB_PG_TILE,OB_PG_TILE,PART_NUMBER,PGT0-0008,Delivery_Date,1900-01-01,Supplier_Batch_Reference,x
8,P,PB,BONN,OB_PG_TILE,OB_PG_TILE,PART_NUMBER,PGT0-0009,Delivery_Date,1900-01-01,Supplier_Batch_Reference,x
9,P,PB,BONN,OB_PG_TILE,OB_PG_TILE,PART_NUMBER,PGT0-0010,Delivery_Date,1900-01-01,Supplier_Batch_Reference,x
10,P,PB,BONN,OB_PG_TILE,OB_PG_TILE,PART_NUMBER,PGT0-0011,Delivery_Date,1900-01-01,Supplier_Batch_Reference,x
11,P,PB,BONN,OB_PG_TILE,OB_PG_TILE,PART_NUMBER,PGT0-0012,Delivery_Date,1900-01-01,Supplier_Batch_Reference,x
