,serialNumber,stage
0,20UPBGT0000001,QC1
1,20UPBGT0000003,QC1
2,20UPBGT0000004,QC1
3,20UPBGT0000005,QC1
4,20UPBGT0000006,QC1
5,20UPBGT0000007,QC1
6,20UPBGT0000008,QC1
7,20UPBGT0000009,QC1
8,20UPBGT0000010,QC1
9,20UPBGT0000011,QC1
10,20UPBGT0000012,QC1
11,20UPBGT0000013,QC1
12,20UPBGT0000014,QC1
13,20UPBGT0000015,QC1
14,20UPBGT0000016,QC1
15,20UPBGT0000017,QC1
16,20UPBGT0000018,QC1
17,20UPBGT0000019,QC1
18,20UPBGT0000020,QC1
19,20UPBGT0000021,QC1
20,20UPBGT0000022,QC1
21,20UPBGT0000023,QC1
22,20UPBGT0000024,QC1
23,20UPBGT0000025,QC1
24,20UPBGT0000026,QC1
25,20UPBGT0000027,QC1
26,20UPBGT0000028,QC1
27,20UPBGT0000029,QC1
28,20UPBGT0000030,QC1
29,20UPBGT0000031,QC1
30,20UPBGT0000032,QC1
31,20UPBGT0000033,QC1
32,20UPBGT0000034,QC1
33,20UPBGT0000035,QC1
34,20UPBGT0000036,QC1
35,20UPBGT0000037,QC1
36,20UPBGT0000038,QC1
37,20UPBGT0000039,QC1
38,20UPBGT0000040,QC1
39,20UPBGT0000041,QC1
40,20UPBGT0000042,QC1
41,20UPBGT0000043,QC1
42,20UPBGT0000044,QC1
43,20UPBGT0000045,QC1
44,20UPBGT0000046,QC1
45,20UPBGT0000047,QC1
46,20UPBGT0000048,QC1
47,20UPBGT0000049,QC1
48,20UPBGT0000050,QC1
49,20UPBGT0000051,QC1
50,20UPBGT0000052,QC1
51,20UPBGT0000053,QC1
52,20UPBGT0000054,QC1
53,20UPBGT0000055,QC1
54,20UPBGT0000056,QC1
55,20UPBGT0000057,QC1
56,20UPBGT0000058,QC1
57,20UPBGT0000059,QC1
58,20UPBGT0000060,QC1
59,20UPBGT0000061,QC1
60,20UPBGT0000062,QC1
61,20UPBGT0000063,QC1
62,20UPBGT0000064,QC1
63,20UPBGT0000065,QC1
64,20UPBGT0000066,QC1
65,20UPBGT0000067,QC1
66,20UPBGT0000068,QC1
67,20UPBGT0000069,QC1
68,20UPBGT0000070,QC1
69,20UPBGT0000071,QC1
70,20UPBGT0000072,QC1
71,20UPBGT0000073,QC1
72,20UPBGT0000074,QC1
73,20UPBGT0000075,QC1
74,20UPBGT0000076,QC1
75,20UPBGT0000077,QC1
76,20UPBGT0000078,QC1
77,20UPBGT0000079,QC1
78,20UPBGT0000080,QC1
79,20UPBGT0000081,QC1
80,20UPBGT0000082,QC1
81,20UPBGT0000083,QC1
82,20UPBGT0000084,QC1
83,20UPBGT0000085,QC1
84,20UPBGT0000086,QC1
85,20UPBGT0000087,QC1
86,20UPBGT0000088,QC1
87,20UPBGT0000089,QC1
88,20UPBGT0000090,QC1
89,20UPBGT0000091,QC1
90,20UPBGT0000092,QC1
91,20UPBGT0000093,QC1
92,20UPBGT0000094,QC1
93,20UPBGT0000095,QC1
94,20UPBGT0000096,QC1
95,20UPBGT0000097,QC1
96,20UPBGT0000098,QC1
97,20UPBGT0000099,QC1
98,20UPBGT0000100,QC1
99,20UPBGT0000101,QC1
100,20UPBGT0000102,QC1
