,serialNumber,stage
0,20UPBBB0000001,QC_BEFORE_NI_COATING
1,20UPBBB0000002,QC_BEFORE_NI_COATING
2,20UPBBB0000003,QC_BEFORE_NI_COATING
3,20UPBBB0000004,QC_BEFORE_NI_COATING
4,20UPBBB0000005,QC_BEFORE_NI_COATING
5,20UPBBB0000006,QC_BEFORE_NI_COATING
6,20UPBBB0000007,QC_BEFORE_NI_COATING
7,20UPBBB0000008,QC_BEFORE_NI_COATING
8,20UPBBB0000009,QC_BEFORE_NI_COATING
9,20UPBBB0000010,QC_BEFORE_NI_COATING
10,20UPBBB0000011,QC_BEFORE_NI_COATING
11,20UPBBB0000012,QC_BEFORE_NI_COATING
12,20UPBBB0000018,QC_BEFORE_NI_COATING
13,20UPBBB0000019,QC_BEFORE_NI_COATING
14,20UPBBB0000020,QC_BEFORE_NI_COATING
15,20UPBBB0000021,QC_BEFORE_NI_COATING
16,20UPBBB0000022,QC_BEFORE_NI_COATING
17,20UPBBB0000023,QC_BEFORE_NI_COATING
18,20UPBBB0000024,QC_BEFORE_NI_COATING
19,20UPBBB0000025,QC_BEFORE_NI_COATING
20,20UPBBB0000026,QC_BEFORE_NI_COATING
21,20UPBBB0000027,QC_BEFORE_NI_COATING
22,20UPBBB0000028,QC_BEFORE_NI_COATING
23,20UPBBB0000029,QC_BEFORE_NI_COATING
24,20UPBBB0000030,QC_BEFORE_NI_COATING
25,,QC_BEFORE_NI_COATING
26,,QC_BEFORE_NI_COATING
27,,QC_BEFORE_NI_COATING
28,,QC_BEFORE_NI_COATING
29,,QC_BEFORE_NI_COATING
30,,QC_BEFORE_NI_COATING
31,,QC_BEFORE_NI_COATING
32,,QC_BEFORE_NI_COATING
33,,QC_BEFORE_NI_COATING
34,,QC_BEFORE_NI_COATING
35,,QC_BEFORE_NI_COATING
36,,QC_BEFORE_NI_COATING
37,,QC_BEFORE_NI_COATING
38,,QC_BEFORE_NI_COATING
39,,QC_BEFORE_NI_COATING
40,,QC_BEFORE_NI_COATING
41,,QC_BEFORE_NI_COATING
42,,QC_BEFORE_NI_COATING
43,,QC_BEFORE_NI_COATING
44,,QC_BEFORE_NI_COATING
45,,QC_BEFORE_NI_COATING
46,,QC_BEFORE_NI_COATING
47,,QC_BEFORE_NI_COATING
48,,QC_BEFORE_NI_COATING
49,,QC_BEFORE_NI_COATING
50,,QC_BEFORE_NI_COATING
51,,QC_BEFORE_NI_COATING
52,,QC_BEFORE_NI_COATING
53,,QC_BEFORE_NI_COATING
54,,QC_BEFORE_NI_COATING
55,,QC_BEFORE_NI_COATING
56,,QC_BEFORE_NI_COATING
57,,QC_BEFORE_NI_COATING
58,,QC_BEFORE_NI_COATING
59,,QC_BEFORE_NI_COATING
60,,QC_BEFORE_NI_COATING
61,,QC_BEFORE_NI_COATING
62,,QC_BEFORE_NI_COATING
63,,QC_BEFORE_NI_COATING
64,,QC_BEFORE_NI_COATING
65,,QC_BEFORE_NI_COATING
66,,QC_BEFORE_NI_COATING
67,,QC_BEFORE_NI_COATING
68,,QC_BEFORE_NI_COATING
69,,QC_BEFORE_NI_COATING
70,,QC_BEFORE_NI_COATING
71,,QC_BEFORE_NI_COATING
72,,QC_BEFORE_NI_COATING
73,,QC_BEFORE_NI_COATING
74,,QC_BEFORE_NI_COATING
75,,QC_BEFORE_NI_COATING
76,,QC_BEFORE_NI_COATING
77,,QC_BEFORE_NI_COATING
78,,QC_BEFORE_NI_COATING
79,,QC_BEFORE_NI_COATING
80,,QC_BEFORE_NI_COATING
81,,QC_BEFORE_NI_COATING
82,,QC_BEFORE_NI_COATING
83,,QC_BEFORE_NI_COATING
84,,QC_BEFORE_NI_COATING
85,,QC_BEFORE_NI_COATING
86,,QC_BEFORE_NI_COATING
87,,QC_BEFORE_NI_COATING
88,,QC_BEFORE_NI_COATING
89,,QC_BEFORE_NI_COATING
90,,QC_BEFORE_NI_COATING
91,,QC_BEFORE_NI_COATING
92,,QC_BEFORE_NI_COATING
93,,QC_BEFORE_NI_COATING
94,,QC_BEFORE_NI_COATING
95,,QC_BEFORE_NI_COATING
96,,QC_BEFORE_NI_COATING
97,,QC_BEFORE_NI_COATING
98,,QC_BEFORE_NI_COATING
99,,QC_BEFORE_NI_COATING
100,,QC_BEFORE_NI_COATING
101,,QC_BEFORE_NI_COATING
102,,QC_BEFORE_NI_COATING
103,,QC_BEFORE_NI_COATING
104,,QC_BEFORE_NI_COATING
105,,QC_BEFORE_NI_COATING
106,,QC_BEFORE_NI_COATING
107,,QC_BEFORE_NI_COATING
108,,QC_BEFORE_NI_COATING
109,,QC_BEFORE_NI_COATING
110,,QC_BEFORE_NI_COATING
111,,QC_BEFORE_NI_COATING
112,,QC_BEFORE_NI_COATING
113,,QC_BEFORE_NI_COATING
114,,QC_BEFORE_NI_COATING
115,,QC_BEFORE_NI_COATING
116,,QC_BEFORE_NI_COATING
117,,QC_BEFORE_NI_COATING
118,,QC_BEFORE_NI_COATING
119,,QC_BEFORE_NI_COATING
120,,QC_BEFORE_NI_COATING
121,,QC_BEFORE_NI_COATING
122,,QC_BEFORE_NI_COATING
123,,QC_BEFORE_NI_COATING
124,,QC_BEFORE_NI_COATING
125,,QC_BEFORE_NI_COATING
126,,QC_BEFORE_NI_COATING
127,,QC_BEFORE_NI_COATING
128,,QC_BEFORE_NI_COATING
129,,QC_BEFORE_NI_COATING
130,,QC_BEFORE_NI_COATING
131,,QC_BEFORE_NI_COATING
132,,QC_BEFORE_NI_COATING
133,,QC_BEFORE_NI_COATING
134,,QC_BEFORE_NI_COATING
135,,QC_BEFORE_NI_COATING
136,,QC_BEFORE_NI_COATING
137,,QC_BEFORE_NI_COATING
138,,QC_BEFORE_NI_COATING
139,,QC_BEFORE_NI_COATING
140,,QC_BEFORE_NI_COATING
141,,QC_BEFORE_NI_COATING
142,,QC_BEFORE_NI_COATING
143,,QC_BEFORE_NI_COATING
144,,QC_BEFORE_NI_COATING
145,,QC_BEFORE_NI_COATING
146,,QC_BEFORE_NI_COATING
147,,QC_BEFORE_NI_COATING
148,,QC_BEFORE_NI_COATING
149,,QC_BEFORE_NI_COATING
150,,QC_BEFORE_NI_COATING
151,,QC_BEFORE_NI_COATING
152,,QC_BEFORE_NI_COATING
153,,QC_BEFORE_NI_COATING
154,,QC_BEFORE_NI_COATING
155,,QC_BEFORE_NI_COATING
156,,QC_BEFORE_NI_COATING
157,,QC_BEFORE_NI_COATING
158,,QC_BEFORE_NI_COATING
159,,QC_BEFORE_NI_COATING
160,,QC_BEFORE_NI_COATING
161,,QC_BEFORE_NI_COATING
162,,QC_BEFORE_NI_COATING
163,,QC_BEFORE_NI_COATING
164,,QC_BEFORE_NI_COATING
